{'name': '8_#1', 'I0': 0.9, 'gamma': 1.8, 'TL_mst': 65.200000000000003, 'MD_mst': 618.39999999999998, 'TL': 63.899999999999999, 'MD': 562.19999999999993, 'cost': 0.98006134969325143, 'performance': 0.90912031047865449, 'fault tolerance': 0.0, 'efficiency': 0.0}
{'name': '8_#2', 'I0': 0.9, 'gamma': 1.8, 'TL_mst': 77.599999999999994, 'MD_mst': 573.20000000000005, 'TL': 86.900000000000006, 'MD': 499.30000000000001, 'cost': 1.1198453608247425, 'performance': 0.87107466852756454, 'fault tolerance': 0.5714285714285714, 'efficiency': 0.51027453559099112}
{'name': '8_#3', 'I0': 0.9, 'gamma': 1.8, 'TL_mst': 60.100000000000001, 'MD_mst': 383.10000000000002, 'TL': 56.999999999999986, 'MD': 332.79999999999995, 'cost': 0.94841930116472517, 'performance': 0.86870268859305644, 'fault tolerance': 0.0, 'efficiency': 0.0}
{'name': '9_#1', 'I0': 1.0, 'gamma': 1.8, 'TL_mst': 66.799999999999997, 'MD_mst': 549.20000000000005, 'TL': 66.799999999999997, 'MD': 549.20000000000005, 'cost': 1.0, 'performance': 1.0, 'fault tolerance': 0.0, 'efficiency': 0.0}
{'name': '9_#2', 'I0': 1.0, 'gamma': 1.8, 'TL_mst': 63.700000000000017, 'MD_mst': 541.0, 'TL': 83.600000000000023, 'MD': 493.79999999999995, 'cost': 1.3124018838304552, 'performance': 0.91275415896487977, 'fault tolerance': 0.7142857142857143, 'efficiency': 0.54425837320574166}
{'name': '9_#3', 'I0': 1.0, 'gamma': 1.8, 'TL_mst': 62.5, 'MD_mst': 556.20000000000005, 'TL': 72.299999999999997, 'MD': 464.80000000000007, 'cost': 1.1568000000000001, 'performance': 0.83567062207838916, 'fault tolerance': 0.5, 'efficiency': 0.43222683264177036}
{'name': '10_#1', 'I0': 1.2, 'gamma': 1.8, 'TL_mst': 69.700000000000003, 'MD_mst': 447.79999999999995, 'TL': 68.900000000000006, 'MD': 396.49999999999994, 'cost': 0.98852223816355811, 'performance': 0.88543992853952658, 'fault tolerance': 0.17647058823529413, 'efficiency': 0.17851959361393324}
{'name': '10_#2', 'I0': 1.2, 'gamma': 1.8, 'TL_mst': 57.200000000000003, 'MD_mst': 558.99999999999989, 'TL': 61.300000000000004, 'MD': 494.99999999999989, 'cost': 1.0716783216783217, 'performance': 0.88550983899821112, 'fault tolerance': 0.0625, 'efficiency': 0.058319738988580748}
{'name': '10_#3', 'I0': 1.2, 'gamma': 1.8, 'TL_mst': 90.700000000000003, 'MD_mst': 859.0, 'TL': 110.3, 'MD': 628.30000000000007, 'cost': 1.2160970231532524, 'performance': 0.73143189755529692, 'fault tolerance': 0.8214285714285714, 'efficiency': 0.67546302292449167}
{'name': '11_#1', 'I0': 1.4, 'gamma': 1.8, 'TL_mst': 101.39999999999999, 'MD_mst': 863.59999999999991, 'TL': 125.7, 'MD': 704.00000000000023, 'cost': 1.2396449704142014, 'performance': 0.81519221861973168, 'fault tolerance': 0.9354838709677419, 'efficiency': 0.75463854030333344}
{'name': '11_#2', 'I0': 1.4, 'gamma': 1.8, 'TL_mst': 62.000000000000007, 'MD_mst': 507.00000000000006, 'TL': 62.0, 'MD': 507.00000000000006, 'cost': 0.99999999999999989, 'performance': 1.0, 'fault tolerance': 0.0, 'efficiency': 0.0}
{'name': '11_#3', 'I0': 1.4, 'gamma': 1.8, 'TL_mst': 71.200000000000003, 'MD_mst': 650.19999999999993, 'TL': 94.0, 'MD': 557.60000000000002, 'cost': 1.3202247191011236, 'performance': 0.85758228237465406, 'fault tolerance': 0.9130434782608695, 'efficiency': 0.69158186864014792}
{'name': '12_#1', 'I0': 1.6, 'gamma': 1.8, 'TL_mst': 75.000000000000014, 'MD_mst': 600.80000000000007, 'TL': 86.399999999999991, 'MD': 600.80000000000007, 'cost': 1.1519999999999997, 'performance': 1.0, 'fault tolerance': 0.2727272727272727, 'efficiency': 0.23674242424242428}
{'name': '12_#2', 'I0': 1.6, 'gamma': 1.8, 'TL_mst': 70.100000000000009, 'MD_mst': 500.7999999999999, 'TL': 88.300000000000011, 'MD': 462.39999999999992, 'cost': 1.2596291012838803, 'performance': 0.92332268370607029, 'fault tolerance': 0.6086956521739131, 'efficiency': 0.48323403417204192}
{'name': '12_#3', 'I0': 1.6, 'gamma': 1.8, 'TL_mst': 66.700000000000003, 'MD_mst': 399.19999999999999, 'TL': 89.200000000000017, 'MD': 342.5, 'cost': 1.3373313343328337, 'performance': 0.85796593186372749, 'fault tolerance': 0.9166666666666666, 'efficiency': 0.68544469357249616}
{'name': '13_#1', 'I0': 1.8, 'gamma': 1.8, 'TL_mst': 66.900000000000006, 'MD_mst': 553.19999999999993, 'TL': 88.299999999999997, 'MD': 532.5, 'cost': 1.3198804185351269, 'performance': 0.96258134490238623, 'fault tolerance': 0.45454545454545453, 'efficiency': 0.34438381550499331}
{'name': '13_#2', 'I0': 1.8, 'gamma': 1.8, 'TL_mst': 69.0, 'MD_mst': 751.60000000000014, 'TL': 112.89999999999999, 'MD': 558.39999999999998, 'cost': 1.6362318840579708, 'performance': 0.74294837679616799, 'fault tolerance': 0.9259259259259259, 'efficiency': 0.56588918413541978}
{'name': '13_#3', 'I0': 1.8, 'gamma': 1.8, 'TL_mst': 81.200000000000003, 'MD_mst': 642.0, 'TL': 107.09999999999999, 'MD': 614.59999999999991, 'cost': 1.3189655172413792, 'performance': 0.9573208722741432, 'fault tolerance': 0.7777777777777778, 'efficiency': 0.58968772694262894}
{'name': '14_#1', 'I0': 2.0, 'gamma': 1.8, 'TL_mst': 71.899999999999991, 'MD_mst': 376.19999999999999, 'TL': 97.199999999999989, 'MD': 305.80000000000001, 'cost': 1.3518776077885952, 'performance': 0.8128654970760234, 'fault tolerance': 0.8636363636363636, 'efficiency': 0.63884212495323611}
